238:79,S,'42',77@1:6,237
237:79,S,'42',77@1;77,S,76,73@1:73,236
184:-1,TFD,25,-1@0.15;25,S,'45',23@1:45_cluster_WAC1376cluster143|89a266|2788-2960|5910|45_cluster_WAC1376cluster143-2261-Item14-E-Item13-Cond_Fill_0,183
183:25,S,'45',23@1;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|2796-2968|5690|44_cluster_WAC1375-2129-Item18-E-Item19-Cond_Fill_0,46_cluster_WAC1416cluster068|d6e140|2793-2965|6101|46_cluster_WAC1416cluster068-2306-Item18-E-Item19-Cond_Fill_0
07_cluster_AkerFH1893nogabecin|5b689a|2829-3004|910|07_cluster_AkerFH1893nogabecin-340-Item19-E-Item20-Cond_Fill_0:'04',TTD,-1,'04'@0.94;-1,TLFD,-1,'07'@1
71_cluster_Kistamicin|8e9844|2374-2548|9804|71_cluster_Kistamicin-3712-Item17-E-Item18-Cond_Fill_0:45,TTD,-1,45@0.53;-1,TLFD,-1,'71'@1
173:-1,TFD,45,-1@0.18;45,S,'10',43@1:10_cluster_ArectNRRLB16090|9ee539|1306-1470|1319|10_cluster_ArectNRRLB16090-520-Item11-E-Item12-Cond_Fill_0,172
172:45,S,'10',43@1;43,S,'39','60'@1:39_cluster_UK68597|e5e4cd|1333-1506|5119|39_cluster_UK68597-1912-Item16-E-Item17-Cond_Fill_0,171
171:43,S,'39','60'@1;'60',TTD,-1,'60'@0.66:167,170
170:'60',TTD,-1,'60'@0.66;'60',T,'07','60'@0.5:07_cluster_AkerFH1893nogabecin|5b689a|1322-1493|902|07_cluster_AkerFH1893nogabecin-340-Item15-E-Item16-Cond_Fill_0,60_cluster_AsubtropicusNRRLB24665|294514|1330-1501|8078|60_cluster_AsubtropicusNRRLB24665-3100-Item16-E-Item17-Cond_Fill_0
167:'60',TTD,-1,'60'@0.66;-1,TFD,-1,29@0.12:119,166
166:-1,TFD,-1,29@0.12;29,S,'03','04'@1:160,165
165:29,S,'03','04'@1;'04',TTD,'04',-1@0.64:04_cluster_AazureaDSM43854|40c465|1374-1534|496|04_cluster_AazureaDSM43854-159-Item14-E-Item15-Cond_Fill_0,164
